,chrt,total,chnl_agg_AD,chnl_agg_CONN,chnl_agg_ORS,chnl_agg_SCH,chnl_agg_SE,chnl_agg_UNK,class
0,1932,3,0,2,0,0,1,0,1947
1,1933,11,1,3,1,2,3,1,1948
2,1934,17,0,8,3,1,5,0,1949
3,1935,31,3,13,2,4,7,2,1950
4,1936,40,0,19,1,3,10,7,1951
5,1937,32,3,9,0,6,7,7,1952
6,1938,38,1,17,0,8,11,1,1953
7,1939,27,1,6,2,7,8,3,1954
8,1940,28,0,13,1,11,3,0,1955
9,1941,27,0,9,0,8,9,1,1956
10,1942,22,2,6,0,8,5,1,1957
11,1943,19,1,9,0,5,4,0,1958
12,1944,21,1,9,1,5,4,1,1959
13,1945,29,1,14,1,9,3,1,1960
14,1946,12,1,5,1,4,0,1,1961
15,1947,15,0,6,0,6,3,0,1962
16,1948,26,0,10,1,10,4,1,1963
17,1949,16,0,8,0,7,0,1,1964
18,1950,24,0,8,1,15,0,0,1965
19,1951,18,2,4,0,9,2,1,1966
20,1952,13,1,2,0,7,1,2,1967
21,1953,8,0,3,0,4,1,0,1968
22,1954,11,0,3,1,5,2,0,1969
23,1955,7,0,3,0,4,0,0,1970
24,1956,5,0,1,1,3,0,0,1971
25,1957,6,0,3,1,1,1,0,1972
26,1958,6,0,0,0,6,0,0,1973
